NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BUS;TRAM;UNDERGROUND
AT1;AT13;AT130;90001;0;1995;2021;119400000;217200000;350900000
AT1;AT13;AT130;90001;0;1996;2021;113200000;212700000;370600000
AT1;AT13;AT130;90001;0;1997;2021;111100000;211900000;375700000
AT1;AT13;AT130;90001;0;1998;2021;112000000;214300000;377900000
AT1;AT13;AT130;90001;0;1999;2021;111500000;213700000;386200000
AT1;AT13;AT130;90001;0;2000;2021;113200000;216100000;395600000
AT1;AT13;AT130;90001;0;2001;2021;109700000;206700000;413100000
AT1;AT13;AT130;90001;0;2002;2021;108800000;204000000;409600000
AT1;AT13;AT130;90001;0;2003;2021;108600000;203800000;409700000
AT1;AT13;AT130;90001;0;2004;2021;110500000;204700000;420200000
AT1;AT13;AT130;90001;0;2005;2021;111700000;207700000;427400000
AT1;AT13;AT130;90001;0;2006;2021;117500000;204700000;450000000
AT1;AT13;AT130;90001;0;2007;2021;116000000;200400000;476600000
AT1;AT13;AT130;90001;0;2008;2021;115000000;190500000;498200000
AT1;AT13;AT130;90001;0;2009;2021;114700000;186900000;510200000
AT1;AT13;AT130;90001;0;2010;2021;114400000;189900000;534400000
AT1;AT13;AT130;90001;0;2011;2021;113600000;193800000;567600000
AT1;AT13;AT130;90001;0;2012;2021;167100000;295100000;444400000
AT1;AT13;AT130;90001;0;2013;2021;177600000;293600000;428800000
AT1;AT13;AT130;90001;0;2014;2021;186600000;304800000;439800000
AT1;AT13;AT130;90001;0;2015;2021;201100000;298000000;440000000
AT1;AT13;AT130;90001;0;2016;2021;208300000;305800000;440100000
AT1;AT13;AT130;90001;0;2017;2021;202300000;305800000;453600000
AT1;AT13;AT130;90001;0;2018;2021;197300000;305500000;463100000
AT1;AT13;AT130;90001;0;2019;2021;196100000;304800000;459800000
AT1;AT13;AT130;90001;0;2020;2021;122800000;186100000;265100000
AT1;AT13;AT130;90001;0;2021;2021;123300000;200600000;271900000
